FILE_NAME,CATEGORY,TOTAL_TOKENS(excluding_spaces),TOTAL_SENTENCES,TOTAL_LINES,TOTAL_WORDS,UNIQUE_WORDS
Amla.txt,Crop-Production,1471,52,166,1471,685
Andrographis-paniculata.txt,Crop-Production,1065,61,95,1065,476
Angelica-glauca.txt,Crop-Production,943,50,92,943,456
Aonla-in-foothills-of-Arunachal-Pradesh.txt,Crop-Production,1110,60,63,1110,540
Apple--Crop-Stage-wise-IPM.txt,Crop-Production,2222,50,159,2222,694
Apple--Diseases-and-Symptoms.txt,Crop-Production,2002,103,225,2002,669
Apple--Natural-Enemies.txt,Crop-Production,486,12,64,486,176
Apple-Insect-and-Mite-Management.txt,Crop-Production,3710,225,129,3710,1091
Apple-Pests-.txt,Crop-Production,548,23,80,548,273
Apple-production-techniques.txt,Crop-Production,1908,105,86,1908,726
Applications-of-Super-Absorbent-Polymers-in-Agriculture.txt,Crop-Production,1295,51,127,1295,569
Apricot-Beneficial-Insects.txt,Crop-Production,34,1,23,34,29
Apricot-Crop-Stage-Wise-IPM.txt,Crop-Production,2018,95,349,2018,794
Apricot-Diseases.txt,Crop-Production,1561,81,148,1561,578
Apricot-Insect-Pests.txt,Crop-Production,3093,178,183,3093,953
Apricot-pests.txt,Crop-Production,487,16,74,487,266
Aquilaria-malaccensis.txt,Crop-Production,955,56,93,955,492
Arecanut-and-its-alternative-uses.txt,Crop-Production,1953,95,70,1953,762
Arecanut-Beneficial-Insects.txt,Crop-Production,26,1,17,26,22
Arecanut-Crop-Stage-Wise--IPM.txt,Crop-Production,1480,62,248,1480,580
Arecanut-Diseases-.txt,Crop-Production,765,40,91,765,335
Arecanut-Insect-Pests.txt,Crop-Production,1614,81,134,1614,576
Arecanut-Pests.txt,Crop-Production,553,17,94,553,282
Arecanut.txt,Crop-Production,3306,184,169,3306,1086
Aristolochia-indica.txt,Crop-Production,849,52,84,849,445
Asparagus-adscendens-.txt,Crop-Production,941,55,93,941,457
Asparagus-racemosus-.txt,Crop-Production,1541,80,76,1541,622
Bacopa-monnieri.txt,Crop-Production,1402,62,93,1402,595
Baliospermum-montanum.txt,Crop-Production,1281,68,92,1281,515
Banana--Crop-Stage-wise-IPM.txt,Crop-Production,2134,89,116,2134,727
Banana--Diseases-and-Symptoms.txt,Crop-Production,1047,41,150,1047,445
Banana--Insect-and-Mite-Management.txt,Crop-Production,1299,84,140,1299,524
Banana--Natural-Enemies.txt,Crop-Production,426,9,42,426,141
Banana-Pests-.txt,Crop-Production,583,14,83,583,288
Banana-pests-management-in-Mizoram.txt,Crop-Production,874,47,91,874,355
Banana.txt,Crop-Production,5735,282,952,5735,1683
Barley.txt,Crop-Production,1025,36,174,1025,456
Barnyard-millet-.txt,Crop-Production,324,15,111,324,188
Beneficial-insects-of-Clove-.txt,Crop-Production,79,17,21,79,55
Beneficial-insects-of-Horsegram.txt,Crop-Production,26,1,17,26,22
Beneficial-insects-of-Moth-bean-.txt,Crop-Production,30,2,17,30,25
Beneficial-insects-of-Passion-fruit.txt,Crop-Production,29,1,15,29,23
Benefits-of-Balanced-Fertilization-in-Cultivation-of-Broccoli.txt,Crop-Production,1029,42,57,1029,447
Ber-Beneficial-Insects.txt,Crop-Production,37,1,21,37,30
Ber-Crop-Stage-Wise-IPM.txt,Crop-Production,1640,80,323,1640,676
Ber-Diseases.txt,Crop-Production,1160,68,127,1160,350
Ber-Insect-and-Mite-Pests.txt,Crop-Production,1777,108,140,1777,630
Ber-Pests.txt,Crop-Production,460,15,76,460,241
Ber.txt,Crop-Production,1228,85,108,1228,554
Bergenia-ciliata.txt,Crop-Production,1479,69,96,1479,640
Betelivine-Pests.txt,Crop-Production,395,11,71,395,217
Betelvine-Beneficial-insects.txt,Crop-Production,25,1,15,25,23
Betelvine-Crop-Stage-Wise-IPM.txt,Crop-Production,1522,70,282,1522,633
Betelvine-Diseases.txt,Crop-Production,708,36,120,708,282
Betelvine-Insect-Pests.txt,Crop-Production,2402,123,192,2402,857
Betelvine-Nutrient-deficiencies.txt,Crop-Production,39,4,7,39,32
Bhendi-.txt,Crop-Production,1584,88,91,1584,626
Bhut-Jolokia-.txt,Crop-Production,1306,57,72,1306,579
Biological-Control-of-Parthenium.txt,Crop-Production,1653,83,75,1653,695
Bitter-Gourd.txt,Crop-Production,2380,136,212,2380,893
Black-Pepper--Crop-Stage-wise-IPM.txt,Crop-Production,1867,85,114,1867,707
Black-Pepper--Diseases-and-Symptoms.txt,Crop-Production,1177,63,127,1177,438
Black-Pepper-Pests.txt,Crop-Production,350,19,67,350,192
Black-Pepper.txt,Crop-Production,3560,159,124,3560,1071
Blackgram-_-Greengram--Natural-Enemies.txt,Crop-Production,112,1,26,112,71
Blackgram-_-Greengram-Pests-.txt,Crop-Production,521,6,81,521,268
Blackgram.txt,Crop-Production,1094,54,89,1094,511
Boswellia-serrata-.txt,Crop-Production,769,44,94,769,409
Brinjal.txt,Crop-Production,2205,101,119,2205,801
Broccoli-beneficial-insects.txt,Crop-Production,32,2,21,32,26
Broccoli-Crop-Stage-Wise-IPM.txt,Crop-Production,1716,91,315,1716,686
Broccoli-Diseases.txt,Crop-Production,859,26,151,859,368
Broccoli-Insect-Pests.txt,Crop-Production,4341,223,286,4341,1198
Broccoli-Pests.txt,Crop-Production,417,18,71,417,241
Cabbage-.txt,Crop-Production,1493,79,85,1493,573
Cabbage-and-Cauliflower-diseases.txt,Crop-Production,1038,36,176,1038,429
Cabbage-and-Cauliflower-Pests.txt,Crop-Production,657,22,89,657,272
Caesalpinia-sappan-.txt,Crop-Production,1084,55,91,1084,493
Cardamom.txt,Crop-Production,7265,354,482,7265,1827
